"","logFC","logCPM","PValue","FDR"
"ADAMTS3",-2.02302736439704,-0.638267107445799,0.0127672063812163,0.715319614896592
"NMUR1",1.21706457971344,3.24010960542346,0.0128964257823953,0.719692205467558
"TMEM229A",-1.41733035688323,0.536008937598772,0.0131701605959533,0.73206311644621
"OGN",-2.34687523896896,-0.972934611672866,0.0132947697943999,0.736080108734826
"LOC118540501",-2.9138301452987,-0.753639236466771,0.0134203143487713,0.740117179163805
"TTC26",-1.14551827570365,0.160697586591016,0.01391972342575,0.764660431782509
"LOC118525606",-1.51902081595871,-0.231783692284128,0.0141222179857057,0.770842342077393
"LIFR",-1.9025996653553,-0.471925154325184,0.0141418846800802,0.770842342077393
"RUNX1T1",-1.28367598801833,0.0335620656547032,0.0143450759110961,0.778898851497082
"CHAC1",-1.3948966731961,-0.160697615202999,0.0148014122689033,0.800585618221487
"RGS5",-2.10376433624632,-0.892457493154429,0.0149886886022182,0.807608918823735
"LOC118541652",-1.48738244613974,-0.285671251407123,0.0151031436527308,0.810669882398296
"TIMM29",1.93681156192105,1.80651814890744,0.0156604025272753,0.834213033110125
"TIMP4",-1.15907846301873,0.300499677429813,0.0160783212438999,0.853243138313071
"CLCN1",-1.09836902706336,0.885043501405517,0.0161462809663822,0.853628380564784
"EBI3",-1.43052256908376,0.482923270377792,0.0164383392822829,0.865814102347356
"MASP1",-1.20199166004597,0.0102310888180194,0.0167401968795394,0.875499263823374
"LOC118542836",1.82028315271016,2.25571071630464,0.0167467327005964,0.875499263823374
"LOC118528045",-1.51377765338856,-0.19449911412387,0.0168536780683607,0.877826943242059
"CEACAM1",-1.29174159545495,4.24307807216857,0.0171803748455892,0.890955216391988
"MYL9",1.06447034363664,7.32574078401061,0.0172324410764859,0.890955216391988
"COL6A1",-1.61268406516551,-0.179606554901547,0.0180023179135595,0.923965681818934
"KCNE4",-1.93726102638657,0.02704737614016,0.019015205509873,0.968879837265739
"ACP2",1.29548800302909,2.36910845961984,0.0192343932707171,0.976510009263882
"TMPRSS9",2.19924094043616,-0.12738820003341,0.0195950432608011,0.983975591807243
"DNAL1",-1.17642663414824,1.31461504594494,0.0197842474662578,0.983975591807243
"CA2",-1.795312616274,2.91048494377849,0.0202209270697109,0.983975591807243
"LOC118531295",1.06084856260089,0.825217316287334,0.0203133693025492,0.983975591807243
"LOC112816222",5.41125739200138,0.290872055145206,0.020919918150536,0.983975591807243
"LOC118553815",-2.3162833432529,-0.874195300962351,0.0211172266829988,0.983975591807243
"PUSL1",1.47764343576002,1.18810208194954,0.0212689407338772,0.983975591807243
"RDH16",-1.75161925810686,-0.549590455123904,0.0213003113418793,0.983975591807243
"LOC118530283",5.68355984794233,0.341983575596778,0.021403128189826,0.983975591807243
"LOC118538207",1.5495163644307,2.74121988305755,0.0219315067045138,0.983975591807243
"ATP5IF1",2.0179046637387,-0.0776116367999465,0.0219837486772516,0.983975591807243
"PLP",2.35358349248128,2.04621927335213,0.0219870167752168,0.983975591807243
"NUAK1",-1.08150590465931,0.798390643131908,0.0221955138871606,0.983975591807243
"SLIT3",-1.58284074237463,-0.333541128268892,0.0222691995884845,0.983975591807243
"DRAXIN",-1.35060226416991,-0.0771650606103786,0.022394719342974,0.983975591807243
"CUNH6orf118",-1.82921484188042,-0.57017907991591,0.0224779553406903,0.983975591807243
"STBD1",-1.40665506192145,-0.020440619143997,0.0229094100276155,0.983975591807243
"RAB27B",-1.32914173915392,-0.0519328544533939,0.0229815944069132,0.983975591807243
"LVRN",-1.13485066652512,0.248308174494572,0.0239173629408275,0.983975591807243
"SNX16",-1.07486448031981,1.46258815748946,0.0239915292571973,0.983975591807243
"SLC2A13",-1.07243299002264,0.559080872183159,0.0241628019324793,0.983975591807243
"TMSB4X",1.17859740632995,10.4441326799497,0.0243029644551616,0.983975591807243
"LOC118519601",3.27739380380529,3.52311094989874,0.0243684099872966,0.983975591807243
"RIMKLB",-1.10995141366386,0.179744705778103,0.0248770843785615,0.983975591807243
"CLEC9A",-1.02028642310561,1.21083974367069,0.0252022031493965,0.983975591807243
"TMEM175",1.525706509527,4.40062138110024,0.0252634068367577,0.983975591807243
"LOC118539397",2.04279258277302,0.089478531439957,0.0257153205380872,0.983975591807243
"FKBP10",-1.19169653440479,0.177463642305135,0.0259648968935304,0.983975591807243
"LOC118534214",1.66195449689679,5.67167376016996,0.0267589216523736,0.983975591807243
"GCH1",-1.44032255515951,0.233481507736758,0.0272332220011271,0.983975591807243
"LOC118555051",-1.11966255815331,0.1519985984908,0.027375531409082,0.983975591807243
"LOC118546678",-1.19652501224916,0.461376967106814,0.0284676074317761,0.983975591807243
"LOC116622059",4.25144505897016,-0.463771994320471,0.0287772087311699,0.983975591807243
"HENMT1",3.12304686483862,1.03264900185926,0.0288662099742031,0.983975591807243
"VSTM2L",1.6318526796861,3.26431112404677,0.02895015551253,0.983975591807243
"CP",-1.28199888890931,3.51649005492347,0.0308832968485173,0.983975591807243
"TGM2",1.04653801587916,7.19709053923889,0.0325995619545133,0.983975591807243
"LOC118533827",2.90588805967437,-0.307011989768984,0.0326385185766921,0.983975591807243
"EPCAM",-1.04160183767738,0.122090235681998,0.0327731152865992,0.983975591807243
"CXCL9",-1.74881265489161,0.50850972035771,0.033782456407088,0.983975591807243
"AEBP1",-1.34176743916106,-0.386726604166465,0.0338255651690761,0.983975591807243
"LOC118535271",2.00530401862639,0.325164690453459,0.0338818461693794,0.983975591807243
"SVEP1",-1.14030617359879,0.855189483732744,0.0344474175518401,0.983975591807243
"DES",3.84371092236041,2.77229962428211,0.0344566007357865,0.983975591807243
"DENND2C",-1.13207012211296,0.687009780553498,0.0349590302841255,0.983975591807243
"LOC118522059",-1.10733013577654,-0.195712055972978,0.0350948131786367,0.983975591807243
"NUDT12",-1.09109946444517,0.538943201035264,0.0353467205533168,0.983975591807243
"FICD",-1.40756695195411,0.715315169683988,0.0359159752718216,0.983975591807243
"PBX1",-1.00670244146701,0.91859179703601,0.0362046528568895,0.983975591807243
"RPH3AL",1.28279390483042,4.18395152720578,0.0370062200440463,0.983975591807243
"TRB GENE",1.79620752183728,2.18778541212059,0.0371560324184142,0.983975591807243
"PHLDB2",-1.66696364661427,-0.757285236186856,0.0374810686181052,0.983975591807243
"LOC118518042",-1.41262801441708,-0.0135434834678962,0.037575020578214,0.983975591807243
"ISYNA1",6.6766652893285,3.10001231160232,0.0378906296987453,0.983975591807243
"SMARCD3",1.40411345331328,0.621614586281664,0.0388167232431988,0.983975591807243
"KMO",6.82010373253937,1.31954288449931,0.0391506774697632,0.983975591807243
"LOC118548427",2.34095387080014,0.64479839852885,0.0394132902443559,0.983975591807243
"EFEMP2",-1.0752362303709,-0.0446723140718208,0.039437022101255,0.983975591807243
"THBS4",-1.85225654583444,-0.880417944199221,0.0396891961269208,0.983975591807243
"LOC118525046",-2.47137793348623,-0.157266173306037,0.0397938584122843,0.983975591807243
"CTNND2",1.51543443819811,3.94338279858271,0.0398815375200532,0.983975591807243
"FAM187B",1.86405189192042,2.33683971956454,0.040109408892404,0.983975591807243
"GGT5",-1.0480193786367,0.11138153028193,0.0414751649973137,0.983975591807243
"LOC118552430",-1.3149631768964,-0.213607899736606,0.0415778300677877,0.983975591807243
"RCVRN",1.3803255551192,0.964204766913152,0.0416619260398382,0.983975591807243
"ADGRA2",-1.02058214347416,0.0861104649840126,0.0418632480399322,0.983975591807243
"PHOSPHO1",1.39458901910741,6.45320834024477,0.0425619803757486,0.983975591807243
